id,Nom,Description,Valeurs,Dépendance (parents),Dépendance (enfants),Échantillonneur,Source
15.0,Chauffage_Logement,Système principal de chauffage,"['Plinthes électriques', 'Unités convecteurs, plancher ou plafond radiant', 'Thermopompe et Système central à air chaud', 'Thermopompe et Système central à eau chaude', 'Thermopompe géothermique seule', 'Thermopompe géothermique et Plinthes électriques', 'Thermopompe géothermique et Fournaise', 'Thermopompe murale', 'Thermopompe murale et Plinthes électriques', 'Thermopompe murale et Fournaise', 'Système central à air chaud', 'Système central à eau chaude', 'Fournaise ou poêle à bois', 'Fournaise murale ou de plancher', 'Fournaise ou poêle à bois et Plinthes électriques', 'Fournaise ou poêle à bois et Unités convecteurs, plancher ou plafond radiant', 'Fournaise ou poêle à bois et Thermopompe murale', 'Fournaise ou poêle à bois et Système central à air chaud', 'Fournaise ou poêle à bois et Système central à eau chaude', 'Fournaise ou poêle à bois et Fournaise murale ou de plancher']","['Type_Logement', 'Source_Energie_Chauf']","['Climatisation', 'HVAC Heating Efficiency', 'Heating Setpoint', 'Cooling Setpoint']",Réseau Bayesien,EUEMR modifié
16.0,Spa_Presence,Avez-vous un spa à votre résidence?,"['Oui', 'Non']","['Region_Administrative', 'Type_Logement']","['Spa_Logement', 'Spa_Saison', 'Spa ChaufType']",Réseau Bayesien,EUEMR modifié
17.0,Spa_Logement,Le spa est-il à l'intérieur ou à l'extérieur de la résidence?,"['Aucun', 'Exterieur', 'Interieur']","['Spa_Presence', 'Type_Logement']",['Spa_Saison'],Réseau Bayesien,EUEMR modifié
18.0,Spa_Saison,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver, pas utilisé)","['Aucun', 'Pas utilisé', 'Ne sait pas', 'Toute_Saison', 'Printemps', 'Ete', 'Automne', 'Hiver', 'Printemps_Ete', 'Printemps_Automne', 'Printemps_Hiver', 'Ete_Automne', 'Ete_Hiver', 'Automne_Hiver', 'Printemps_Ete_Automne', 'Printemps_Automne_Hiver', 'Ete_Automne_Hiver']","['Spa_Presence', 'Spa_Logement']","['Spa_Utilisation_SaisonChaude', 'Spa_Utilisation_SaisonFroide']",Réseau Bayesien,EUEMR modifié
19.0,Spa_Utilisation_SaisonChaude,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois chauds de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
20.0,Spa_Utilisation_SaisonFroide,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois froids de la dernière année?,"['Aucun', 'Ne sais pas', 'Constant', 'Augmentation']",['Spa_Saison'],[],Réseau Bayesien,EUEMR modifié
21.0,Piscine_Presence,"Avez-vous une piscine installée en permanence, qu'elle soit creusée ou hors-terre?","['Oui', 'Non']","['Region_Administrative', 'Type_Logement']",['Piscine_Type'],Réseau Bayesien,EUEMR modifié
22.0,Piscine_Type,De quel type de piscine s'agit-il?,"['Aucun', 'Hors_Terre', 'Creusee_Exterieur', 'Creusee_Interieur']","['Type_Logement', 'Piscine_Presence']","['Piscine_Toile', 'Piscine_Chauffee', 'Piscine_Minuterie']",Réseau Bayesien,EUEMR modifié
23.0,Piscine_Minuterie,Votre filtreur est-il équipé d'une minuterie?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
24.0,Piscine_Toile,Possédez-vous une toile solaire?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],[],Réseau Bayesien,EUEMR modifié
25.0,Piscine_Chauffee,Votre piscine est-elle chauffée (autrement que par une toile solaire)?,"['Aucun', 'Oui', 'Non']",['Piscine_Type'],['Piscine_ChaufType'],Réseau Bayesien,EUEMR modifié
26.0,Piscine_ChaufType,De quelle façon est-elle chauffée? (Ensemble des mentions),"['Aucun', 'Ne sait pas', 'Thermopompe', 'Electrique', 'Capteur Solaire', 'Propane', 'Gaz Naturel', 'Bois', 'Mazout']",['Piscine_Chauffee'],[],Réseau Bayesien,EUEMR modifié
27.0,Vehicule_Presence,Voiture(s) électrique? (Base totale),"['Aucune_VE_Aucune_VHR', 'Une_VE_Aucune_VHR', 'Aucune_VE_Une_VHR', 'Deux_VE_Aucune_VHR', 'Une_VE_Une_VHR', 'Deux_VE_Une_VHR', 'Trois_VE_Aucune_VHR', 'Deux_VE_Deux_VHR', 'Aucune_VE_Deux_VHR']","['Region_Administrative', 'Type_Logement']",['Vehicule_BornePresence'],Réseau Bayesien,EUEMR modifié
28.0,Vehicule_BornePresence,Disposez-vous d'une borne de recharge reliée à votre compteur d'électricité?,"['Aucun', 'Oui', 'Non']","['Type_Logement', 'Vehicule_Presence']",[],Réseau Bayesien,EUEMR modifié
29.0,ChaufEau_ChaufType,À quelle source d'énergie votre chauffe-eau fonctionne-t-il?,"['Aucun', 'Ne sait pas', 'Electrique', 'Propane', 'Gaz Naturel', 'Bois', 'Mazout']","['Source_Energie_Chauf', 'ChaufEau_Presence']",[],Réseau Bayesien,EUEMR modifié
30.0,ChaufEau_Type,Quelle est la capacité du chauffe-eau?,"['Non definit', 'Ne sait pas', 'Chauffe-eau sans réservoir', 'Moins de 22 gallons', '22 gallons', '23-40 gallons', '40 gallons', '41-59 gallons', '60 gallons', '60 et plus gallons']","['Type_Logement', 'ChaufEau_Presence']",[],Réseau Bayesien,EUEMR modifié
31.0,ChaufEau_Presence,Le chauffe-eau est central ou uniquement pour le lieu de résidence (Base totale),"['Aucun', 'Logement', 'Central']",['Type_Logement'],"['ChaufEau_ChaufType', 'ChaufEau_Type']",Réseau Bayesien,EUEMR modifié
32.0,Congelateur_Nombre,Combien de congélateurs distincts avez-vous dans votre résidence?,"['Aucun', '1', '2', '3', '4', '5', '6']","['Nombre_Personnes', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
33.0,Refrigerateur_Nombre,Combien de réfrigérateurs avez-vous dans votre résidence?,"['Aucun', '1', '2', '3', '4 et plus']","['Nombre_Personnes', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
34.0,LaveLinge_Type,Quel type de machine à laver le linge avez-vous?,"['Aucun', 'Frontale', 'Traditionnelle']","['Nombre_Personnes', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
35.0,SecheLinge_Presence,Avez-vous une sécheuse à linge électrique?,"['Oui', 'Non']","['Nombre_Personnes', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
36.0,LaveVaisselle_Presence,Avez-vous un lave-vaisselle?,"['Oui', 'Non']","['Nombre_Personnes', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
37.0,Cuisiniere_Presence,Avez-vous une cuisinière?,"['Oui', 'Non']","['Nombre_Personnes', 'Type_Logement']",['Cuisiniere_Energie'],Réseau Bayesien,EUEMR modifié
38.0,Cuisiniere_Energie,Quelle est la source d'énergie de votre cuisinière?,"['Aucun', 'Ne sait pas', 'Electrique', 'Gaz', 'Autre']","['Cuisiniere_Presence', 'Source_Energie_Chauf']",[],Réseau Bayesien,EUEMR modifié
39.0,Eclairage_LED,Quel pourcentage de votre éclairage est à DEL?,"['Ne sait pas', '0%', '1 à 24 %', '25 à 50 %', 'Plus de 50 %']","['Mode_Occupation', 'Type_Logement']",[],Réseau Bayesien,EUEMR modifié
,Geometry Stories,Geometry Stories,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '20', '21', '35']","['Type_Logement', 'Nombre_Etages']","['Geometry Building Number Units', 'Geometry Building Horizontal Location', 'Geometry Building Level']",BuildstockBatchArguments,
,Geometry Building Number Units,Nombre d'unité d'habitation,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '24', '30', '36', '43', '67', '116', '183', '326']","['Type_Logement', 'Geometry Stories']",['Geometry Building Horizontal Location'],BuildstockBatchArguments,
,Geometry Building Horizontal Location,Position horizontale de l'habitation,"['Left', 'Middle', 'None', 'Not Applicable', 'Right']","['Geometry Building Number Units', 'Geometry Stories']",[],BuildstockBatchArguments,
,Geometry Building Level,Position verticale de l'habitation,"['Bottom', 'Middle', 'Not Applicable', 'Top']","['Type_Logement', 'Geometry Stories']",[],BuildstockBatchArguments,
,Infiltration,Taux d'infiltration d'air,"['1 ACH50', '2 ACH50', '3 ACH50', '4 ACH50', '5 ACH50', '6 ACH50', '7 ACH50', '8 ACH50', '10 ACH50', '15 ACH50', '20 ACH50', '25 ACH50', '30 ACH50', '40 ACH50', '50 ACH50']","['Type_Logement', 'An_Construction']",[],Réseau Bayesien (BuildstockBatchArguments),
