Dependency=Type_Logement;Option=4;Option=14;Option=12;Option=18;Option=24;Option=6;Option=7;Option=8;Option=50;Option=28;Option=60;Option=20;Option=15;Option=17;Option=13;Option=100;Option=30;Option=49;Option=32;Option=16;Option=5;Option=27;Option=75;Option=10;Option=35;Option=19;Option=25;Option=44;Option=130;Option=42;Option=120;Option=36;Option=22;Option=9;Option=64;Option=26;Option=80;Option=46;Option=38;Option=48;Option=52;Option=92;Option=58;Option=40;Option=70;Option=200;Option=90;Option=325;Option=23;Option=11;Option=56;Option=187;Option=66;Option=86;Option=180;Option=45;Option=150;Option=110;Option=29;Option=160;Option=43;Option=350;Option=140;Option=96;Option=53;Option=72;Option=65;Option=215;Option=108;Option=39;Option=85;Option=135;Option=103;Option=250;Option=76;Option=123;Option=82;Option=132;Option=34;Option=21;Option=84;Option=54;Option=71;Option=77;Option=91;Option=55;Option=181;Option=202;Option=121;Option=47;Option=240;Option=144;Option=99;Option=199;Option=79;Option=68;Option=62;Option=88;Option=152;Option=170;Option=117;Option=300;Option=128;Option=33;Option=193;Option=83;Option=63;Option=260;Option=268;Option=149;Option=194;Option=51;Option=73;Option=321;Option=125;Option=69;Option=220;Option=141;Option=137;Option=101;Option=1;Option=2;Option=3
Collective;0.15317612298364755;0.010857852681482148;0.058041925193528625;0.01351188800560703;0.0196011036918097;0.1945069983593772;0.021440421491957302;0.1185098931601991;0.019952824824319;0.0029971575086535354;0.010140659935402951;0.014106779330179176;0.012804929540633664;0.003608857466626294;0.0038773325076999726;0.013034979002179651;0.016222904660773516;0.003220299822901952;0.00870688256396816;0.03310317509815498;0.05089716842271574;0.0031657320161988544;0.0016919977259119447;0.017177776926580252;0.004412414226018407;0.00543069032120987;0.004091497667472938;0.002553222924868702;0.001989815714201417;0.00258688178177005;0.0036850512720741626;0.008705759260255849;0.0038992654421256883;0.010082354362217025;0.0021164206536960347;0.0018146766489968505;0.009373537068344024;0.0010545726029209334;0.002003679649790284;0.004973595197650871;0.004115699581161258;0.0011637281024053335;0.0013573248985666944;0.017792389749799273;0.008116712810236583;0.009249298609256641;0.0037598672987903077;0.00036298099357745626;0.002769619146792471;0.00558534398039773;0.0019002761613256575;0.0005365757712462278;0.0011509068873909799;0.000735958043432102;0.0015797056057005909;0.003879638587854749;0.003507395356546387;0.0021002037424246852;0.0017252846834701534;0.0021379840261348186;0.0013430416857953844;0.0004427472810335234;0.002180384038736507;0.000945756502398129;0.000945756502398129;0.0034682376280125594;0.0004080457777594471;0.00044950780560522677;0.00036010415329749545;0.0019597198785807637;0.0010034554388961392;0.00045484510285229444;0.00039180886910721675;0.0009283585213253551;0.0004205110839151884;0.00048795501495305544;0.0008705869041795787;0.0004446761193166881;0.00393439360565975;0.003805854003041897;0.0008760145791999789;0.000854141488513338;0.0010750838311585926;0.0008208329382358845;0.0005035472585028936;0.000816417932067337;0.0004708988443998683;0.0008451394022383464;0.0008795237299852386;0.0004427472810335234;0.0013164728835900175;0.00040534238415039357;0.0004944495632287731;0.00039546668316741215;0.0017590640811701707;0.0007241376249841059;0.00043196401802621416;0.0009341789463902952;0.0003515978833454994;0.0004743886285194137;0.0007758856896802966;0.0024548753233840136;0.00039180886910721675;0.0013732302365455774;0.000524829962692391;0.0007864874180222048;0.0017028303331058433;0.00041428607362110534;0.00044950780560522677;0.00039546668316741215;0.0003795416446147853;0.0003917827500791272;0.0004059911303509248;0.00036298099357745626;0.00036010415329749545;0.0004490257537132273;0.0004237913221957426;0.0003515978833454994;0.000398645005297168;0.0004341833191941988;0.0;0.0;0.0
Triplex;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Duplex;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
Maison en rangee;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Maison individuelle;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
