Dependency=Type_Logement;Dependency=An_Construction;Option=QC_R19.6;Option=QC_R24.6;Option=QC_R27.3;Option=QC_R30.9;Option=QC_R41;Option=QC_R12.5;Option=QC_R18.3;Option=QC_R29.8
Duplex;< 1950;0.09509674289362281;0.17118835193110313;0.0578692498415498;0.1289292782194621;0.3077079040618725;0.14048262543925377;0.05943662496952105;0.03928922264361492
Duplex;[1950 - 1960);0.18149199922910525;0.12174998246152133;0.06727914622295847;0.11415653145749738;0.2600301579772377;0.16110836707369117;0.05852922379376771;0.03565459178422107
Duplex;[1960 - 1970);0.09456815746508047;0.09541423294014499;0.044333403500931304;0.11603761292052389;0.27144894794473473;0.2529355961728154;0.07386507988069584;0.05139696917507346
Duplex;[1970 - 1980);0.1634354095814394;0.1233410289129469;0.09134938350134066;0.10594044784353081;0.12015895691535582;0.2723095592423179;0.07981620606661986;0.043649007936448755
Duplex;[1980 - 1990);0.120906846018291;0.24499540350539337;0.12358498012155064;0.11205051174213457;0.19780255545967637;0.08349063280432983;0.04519456137742976;0.07197450897119445
Duplex;[1990 - 2000);0.17145818719684028;0.15395080279025067;0.12484015887207253;0.16404593566516026;0.1984637650248541;0.07717094194768041;0.044156161665950724;0.06591404683719111
Duplex;[2000 - 2010);0.02663646942190554;0.06923856419132407;0.11079795901174885;0.28193930708569576;0.41230328530096316;0.011452869036137864;0.0038610688432540283;0.08377047710897065
Duplex;[2010 - 2020);0.004234188021137705;0.004234188021137705;0.013779284408359656;0.11059774206011956;0.8373698946239845;0.003230161034839625;0.005274561686760016;0.02127998014366122
Duplex;>= 2020;0.0004821172208743434;0.0014463516626230302;0.0018959193731141943;0.052750098023047406;0.9400995174397954;0.0;0.0;0.003325996280545635
Triplex;< 1950;0.0;0.7335497789332854;0.0;0.11400129618499294;0.06288151279855465;0.06511542790060548;0.024451984182561514;0.0
Triplex;[1950 - 1960);0.0;0.747924631548159;0.0;0.09629670085903555;0.06411375702333509;0.047125915129289146;0.044538995440181306;0.0
Triplex;[1960 - 1970);0.0;0.762883124179122;0.0;0.09822263487621624;0.06539603216380178;0.04806843343187492;0.025429775348984923;0.0
Triplex;[1970 - 1980);0.0;0.7335497789332854;0.0;0.13289655273816914;0.06288151279855465;0.04622017134742929;0.024451984182561514;0.0
Triplex;[1980 - 1990);0.0;0.8263319464549024;0.0;0.06139591623294897;0.06633069137895554;0.030046083737742257;0.015895362195450943;0.0
Triplex;[1990 - 2000);0.0;0.762883124179122;0.0;0.09822263487621624;0.06539603216380178;0.04806843343187492;0.025429775348984923;0.0
Triplex;[2000 - 2010);0.0;0.762883124179122;0.0;0.09822263487621624;0.06539603216380178;0.04806843343187492;0.025429775348984923;0.0
Triplex;[2010 - 2020);0.0;0.762883124179122;0.0;0.09822263487621624;0.06539603216380178;0.04806843343187492;0.025429775348984923;0.0
Triplex;>= 2020;0.0;0.6576831420119901;0.0;0.08467793961440245;0.19427595837201836;0.04143989731728145;0.02192306268430779;0.0
Collective;< 1950;0.10425994133641683;0.012059281544126022;0.0;0.05130058024068071;0.612578604193078;0.09514699182631074;0.026569238223105442;0.09808536263628222
Collective;[1950 - 1960);0.12182347189844789;0.011822825043260807;0.0;0.05029468651047129;0.6005672590128216;0.09328136453559878;0.026048272767750437;0.09616212023164925
Collective;[1960 - 1970);0.10024994359270928;0.011595463023198188;0.0;0.04932748100065491;0.589017888647195;0.11071827003995756;0.0447781050075514;0.09431284868873363
Collective;[1970 - 1980);0.09309181620512148;0.010767514413318344;0.0;0.06325202777014902;0.5469603579453897;0.13912359014875814;0.023723192337069706;0.12308150118019374
Collective;[1980 - 1990);0.11914633629913307;0.011595594436967603;0.0;0.06888342463418506;0.5890245641081787;0.09148852898726562;0.025547633978607518;0.09431391755566251
Collective;[1990 - 2000);0.09751299400908553;0.021446841055261928;0.0;0.03466585350490594;0.6978455857040701;0.06429462716813132;0.017953896732901733;0.06628020182564345
Collective;[2000 - 2010);0.09835843522303475;0.011376680702005681;0.0;0.04839677381196293;0.5967722681066774;0.08976131304368938;0.02506531907840136;0.1302692100342285
Collective;[2010 - 2020);0.09824519208074119;0.006415315499163928;0.0;0.027290963091781216;0.7511181335051625;0.05061644585779446;0.014134344998080903;0.05217960496727581
Collective;>= 2020;0.06859803757641102;0.007934428486193;0.0;0.07371009599558549;0.7051385390518112;0.06260215416315379;0.01748128359409109;0.06453546113275446
Maison individuelle;< 1950;0.13696015511332396;0.12365067275472995;0.06477361912940162;0.06961161875114612;0.06536012525408084;0.372894650825475;0.13090336469540917;0.03584579347643344
Maison individuelle;[1950 - 1960);0.14451269467210254;0.15305082180366242;0.0871678230639796;0.1072881807053536;0.09251295774582431;0.250700218296588;0.11526665909086935;0.049500644621620134
Maison individuelle;[1960 - 1970);0.13224889109881408;0.14820446142234225;0.08064960207855956;0.11077323146594653;0.10877596846458064;0.2551796278503534;0.11008667512612484;0.0540815424932788
Maison individuelle;[1970 - 1980);0.14035015574752757;0.13445223656701483;0.08672727635863135;0.11267327866277753;0.11416571237738939;0.26230596918986293;0.09167026672294752;0.05765510437384891
Maison individuelle;[1980 - 1990);0.1729210559761162;0.2211378311715287;0.14732754661492936;0.15536218127964793;0.08556921405540792;0.06523008133028843;0.07141240627018633;0.08103968330189522
