Dependency=Type_Logement;Dependency=An_Construction;Dependency=Geometry Foundation Type;Option=None;Option=Uninsulated;Option=Ceiling R-13;Option=Ceiling R-19;Option=Ceiling R-30
Maison individuelle;[2000 - 2010);Heated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;[2010 - 2020);Heated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;>= 2020;Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;< 1950;Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1950 - 1960);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1960 - 1970);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1970 - 1980);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1980 - 1990);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1990 - 2000);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[2000 - 2010);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[2010 - 2020);Heated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;>= 2020;Heated Basement;0;1.0;0.0;0.0;0.0
Duplex;< 1950;Slab;1;0.0;0.0;0.0;0.0
Duplex;[1950 - 1960);Slab;1;0.0;0.0;0.0;0.0
Duplex;[1960 - 1970);Slab;1;0.0;0.0;0.0;0.0
Duplex;[1970 - 1980);Slab;1;0.0;0.0;0.0;0.0
Duplex;[1980 - 1990);Slab;1;0.0;0.0;0.0;0.0
Duplex;[1990 - 2000);Slab;1;0.0;0.0;0.0;0.0
Duplex;[2000 - 2010);Slab;1;0.0;0.0;0.0;0.0
Duplex;[2010 - 2020);Slab;1;0.0;0.0;0.0;0.0
Duplex;>= 2020;Slab;1;0.0;0.0;0.0;0.0
Triplex;< 1950;Slab;1;0.0;0.0;0.0;0.0
Triplex;[1950 - 1960);Slab;1;0.0;0.0;0.0;0.0
Triplex;[1960 - 1970);Slab;1;0.0;0.0;0.0;0.0
Triplex;[1970 - 1980);Slab;1;0.0;0.0;0.0;0.0
Triplex;[1980 - 1990);Slab;1;0.0;0.0;0.0;0.0
Triplex;[1990 - 2000);Slab;1;0.0;0.0;0.0;0.0
Triplex;[2000 - 2010);Slab;1;0.0;0.0;0.0;0.0
Triplex;[2010 - 2020);Slab;1;0.0;0.0;0.0;0.0
Triplex;>= 2020;Slab;1;0.0;0.0;0.0;0.0
Collective;< 1950;Slab;1;0.0;0.0;0.0;0.0
Collective;[1950 - 1960);Slab;1;0.0;0.0;0.0;0.0
Collective;[1960 - 1970);Slab;1;0.0;0.0;0.0;0.0
Collective;[1970 - 1980);Slab;1;0.0;0.0;0.0;0.0
Collective;[1980 - 1990);Slab;1;0.0;0.0;0.0;0.0
Collective;[1990 - 2000);Slab;1;0.0;0.0;0.0;0.0
Collective;[2000 - 2010);Slab;1;0.0;0.0;0.0;0.0
Collective;[2010 - 2020);Slab;1;0.0;0.0;0.0;0.0
Collective;>= 2020;Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;< 1950;Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[1950 - 1960);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[1960 - 1970);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[1970 - 1980);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[1980 - 1990);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[1990 - 2000);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[2000 - 2010);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;[2010 - 2020);Slab;1;0.0;0.0;0.0;0.0
Maison individuelle;>= 2020;Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;< 1950;Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[1950 - 1960);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[1960 - 1970);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[1970 - 1980);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[1980 - 1990);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[1990 - 2000);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[2000 - 2010);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;[2010 - 2020);Slab;1;0.0;0.0;0.0;0.0
Maison en rangee;>= 2020;Slab;1;0.0;0.0;0.0;0.0
