PONDNew,POND1,POND2x,POND1_POP,POND2x_POP,Type_Logement,Type_Batiment,Mode_Occupation,Consommation_Elec_An,An_Construction,An_ConstructionCode,Source_Energie_Chauf,Territoire_HQ,Region_Administrative,Nombre_Pieces,Nombre_Etages,Superficie_Totale,Presence_SousSol,Nombre_Personnes,Presence_Garage,Chauffage_Logement,Nombre_Refrigerateur,Nombre_Logement,Climatisation,Spa_Presence,Spa_Logement,Spa_Saison,Spa_Utilisation_SaisonChaude,Spa_Utilisation_SaisonFroide,Piscine_Presence,Piscine_Type,Piscine_Minuterie,Piscine_Toile,Piscine_Chauffee,Piscine_ChaufType,Vehicule_Presence,Vehicule_BornePresence,ChaufEau_Presence,ChaufEau_ChaufType,ChaufEau_Type,Congelateur_Nombre,Refrigerateur_Nombre,LaveLinge_Type,SecheLinge_Presence,LaveVaisselle_Presence,Cuisiniere_Presence,Cuisiniere_Energie,Eclairage_LED,Vintage,Territoire,Typo,Source
0.9591216930379747,1.0674259,,398.70088,,Maison individuelle,Maison,Proprietaire,[25000 - 30000),[1980 - 1990),[1971 - 1986),Electricite,Richelieu,Montérégie,6,Deux étages,[2000 - 2500),Sous sol 6 pied,2,Garage non chauffé,Thermopompe murale et Plinthes électriques,2,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Oui,Hors_Terre,Non,Oui,Oui,Thermopompe,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,1,2,Traditionnelle,Oui,Oui,Oui,Electrique,Plus de 50 %,1971-85,4_Richelieu,individuelle,elec
0.8850956999999999,0.8470876,,316.40095,,Maison individuelle,Maison,Proprietaire,[10000 - 15000),< 1950,< 1946,Electricite,Richelieu,Estrie,10,Trois étages et plus,[4000 - 4500),Sous sol 6 pied,2,Garage non chauffé,Thermopompe et Système central à air chaud,2,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,2,2,Traditionnelle,Oui,Non,Oui,Electrique,0%,pre-1945,4_Richelieu,individuelle,elec
0.9408687592592594,0.977252,,365.01946,,Maison individuelle,Maison,Proprietaire,,[1990 - 2000),[1986 - 2013),Bois,Richelieu,Centre-du-Québec,6,Trois étages et plus,[1000 - 1500),Sous sol 6 pied,1,Pas de Garage,Fournaise ou poêle à bois et Thermopompe murale,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,1,1,Traditionnelle,Oui,Non,Oui,Electrique,0%,1986-2012,4_Richelieu,individuelle,combustible
0.5964940909090909,0.4850875,,181.18805,,Maison individuelle,Maison,Proprietaire,[25000 - 30000),< 1950,< 1946,Bi-energie,Richelieu,Montérégie,10,Trois étages et plus,[4000 - 4500),Sous sol 6 pied,2,Garage non chauffé,Système central à air chaud,2,.,Aucune,Oui,Exterieur,Printemps_Ete_Automne,Augmentation,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Une_VE_Aucune_VHR,Oui,Logement,Electrique,60 gallons,2,2,Frontale,Oui,Oui,Oui,Gaz,Plus de 50 %,pre-1945,4_Richelieu,individuelle,bi-energie
,0.2602529,,97.208662,,Maison individuelle,Maison,Proprietaire,[0 - 5000),[1970 - 1980),[1971 - 1986),,Est et Nord du Québec,Côte-Nord,1,Un étage,[1 - 500),Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,Aucun,1,Aucun,Non,Non,Oui,Electrique,Plus de 50 %,1971-85,3_Nord-Est,individuelle,
,1.0721452,,400.46361,,Duplex,Plex,Locataire,[20000 - 25000),,,Electricite,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,5 et plus,Pas de Garage,,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,1,1,Aucun,Non,Non,Oui,Electrique,Plus de 50 %,,0_Montreal,duplex,elec
0.8515905,0.9716373,,362.92227,,Maison individuelle,Maison,Proprietaire,[10000 - 15000),,,Bi-energie,Montmorency,Chaudière-Appalaches,8,Trois étages et plus,[1500 - 2000),Sous sol 6 pied,1,Pas de Garage,Système central à air chaud,1,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,40 gallons,1,1,Frontale,Oui,Non,Oui,Electrique,0%,pre-1945,2_Montmorency,individuelle,bi-energie
,1.1933602,,445.73938,,Collective,Collective,Locataire,[5000 - 10000),,,,Montréal,Montréal,2,Un étage,,Aucun Sous-sol ou vide sanitaire,2,Pas de Garage,,1,18,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,0%,,0_Montreal,immeuble,
0.586341,1.0906983,,407.39349,,Duplex,Plex,Proprietaire,[20000 - 25000),< 1950,< 1946,Bi-energie,Montréal,Montréal,10,Deux étages,[2000 - 2500),Aucun Sous-sol ou vide sanitaire,2,Garage non chauffé,Système central à eau chaude,2,.,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Logement,Electrique,60 gallons,1,2,Traditionnelle,Oui,Oui,Oui,Electrique,25 à 50 %,pre-1945,0_Montreal,duplex,bi-energie
,1.2692386,,474.08122,,Collective,Collective,Locataire,[0 - 5000),,,,Montréal,Montréal,3,Un étage,,Aucun Sous-sol ou vide sanitaire,1,Pas de Garage,Système central à eau chaude,1,24,Aucune,Non,Aucun,Aucun,Aucun,Aucun,Non,Aucun,Aucun,Aucun,Aucun,Aucun,Aucune_VE_Aucune_VHR,Aucun,Central,Ne sait pas,Non definit,Aucun,1,Aucun,Non,Non,Oui,Electrique,Plus de 50 %,1946-70,0_Montreal,immeuble,
