Code,Description,Label,IdLabel,Type
B2C2AR,Combien d'ordinateurs de bureau avez-vous dans votre résidence?,"['0', '1', '2', '3', '4', '5', '6']","['0', '1', '2', '3', '4', '5', '6']",discrete
QB2D1,Avez-vous accès à Internet?,"['Oui', 'Non']","['0', '1']",discrete
QB2D1R,Avez-vous accès à Internet avec un ordinateur?,"['Oui', 'Non']","['0', '1']",discrete
QB2X6,Avez-vous de l'éclairage à DEL dans votre résidence?,"['Oui', 'Non']","['0', '1']",discrete
QB2X8R,Quel pourcentage de votre éclairage est à DEL?,"['0%', '1 à 24 %', '25 à 50 %', 'Plus de 50 %']","['0', '1', '2', '3']",discrete
SOURC,Principale source d'énergie utilisée pour le chauffage de l'habitation - détail,"[""L'électricité"", 'Le gaz naturel', 'Le propane', 'Le mazout (huile)', 'Le bois (ou granule)', ""L'électricité et le gaz naturel"", ""L'électricité et le propane"", ""L'électricité et le mazout"", 'Le bois (ou granules) ET électricité', 'Le bois ET mazout (huile)', 'Bi-énergie (sans précision)']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",discrete
CENTRAL2,Possédez-vous un système central?,"['Oui', 'Non']","['0', '1']",discrete
SYSTEM1R,Système principal de chauffage,"['Plinthes électriques', 'Unités convecteurs, plancher ou plafond radiant', 'Thermopompe', 'Autres', 'Système central à air chaud', 'Système central à eau chaude', 'Fournaise ou poêle à bois', 'Fournaise murale ou de plancher']","['0', '1', '2', '3', '4', '5', '6', '7']",discrete
SYSTEM2,Système principal de chauffage en combinaison,"['Thermopompe', 'Plinthes électriques', 'Système central à air chaud', 'Unités convecteurs, plancher ou plafond radiant', 'Fournaise murale ou de plancher', 'Système central à eau chaude']","['0', '1', '2', '3', '4', '5', '6', '7', '8']",discrete
SYSTEM2R,Système principal de chauffage en combinaison,,"['0', '1', '2', '3', '4', '5']",discrete
QC9A,Avec quel autre système votre thermopompe (pompe à chaleur) est-elle combinée?,"['Plinthes', 'Convecteurs', 'Plinthes et convecteurs', 'Radiants de plancher', 'Bouilloire électrique', 'Fournaise électrique à air chaud', 'Fournaise au gaz naturel à air chaud', 'Fournaise au propane à air chaud', 'Fournaise au mazout à air chaud', 'Pas de système de relève']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']",discrete
QC7A,Votre thermopompe est-elle de type « climat froid » ou « basse température »?,"['Oui', 'Non']","['0', '1']",discrete
QC21A,En quelle année votre thermopompe a-t-elle été installée?,,,Entier
APPOINT,Combien de systèmes d'appoint possédez-vous?,"['0', '1', '2', '3', '4', '5', '6']","['0', '1', '2', '3', '4', '5', '6']",discrete
QD1A,Utilisez-vous comme chauffage d'appoint des chaufferettes (radiateurs électriques portatifs)?,"['Oui', 'Non']","['0', '1']",discrete
QD1B,Utilisez-vous comme chauffage d'appoint des plinthes électriques fixes?,"['Oui', 'Non']","['0', '1']",discrete
QD1C,Utilisez-vous comme chauffage d'appoint des unités convecteurs?,"['Oui', 'Non']","['0', '1']",discrete
QD1D,Utilisez-vous comme chauffage d'appoint un poêle à combustion lente (hermétique)?,"['Oui', 'Non']","['0', '1']",discrete
QD1E,Utilisez-vous un poêle à bois à combustion lente ou conventionnel comme chauffage d'appoint?,"['Oui', 'Non']","['0', '1']",discrete
QD1F,Utilisez-vous comme chauffage d'appoint un foyer?,"['Oui', 'Non']","['0', '1']",discrete
QD2F2,Quelle source d'énergie utilisez-vous pour ce foyer?,"['Électricité', 'Gaz naturel', 'Gaz propane', 'Mazout', 'Bois']","['0', '1', '2', '3', '4']",discrete
QD1J,Utilisez-vous comme chauffage d'appoint un système radiant à rayonnement dans le plancher ou le plafond?,"['Oui', 'Non']","['0', '1']",discrete
QD1G,Utilisez-vous comme chauffage d'appoint une fournaise individuelle murale ou de plancher?,"['Oui', 'Non']","['0', '1']",discrete
QD2G,Quelle source d'énergie utilisez-vous pour cette fournaise?,"['Électricité', 'Gaz naturel', 'Gaz propane', 'Mazout', 'Bois']","['0', '1', '2', '3']",discrete
QD1H,Utilisez-vous comme chauffage d'appoint une fournaise centrale à air chaud (avec bouches de chaleur)?,"['Oui', 'Non']","['0', '1']",discrete
QD2H,Quelle source d'énergie utilisez-vous pour cette fournaise?,"['Électricité', 'Gaz naturel', 'Gaz propane', 'Mazout', 'Bois']","['0', '1', '2', '3']",discrete
QD1I,Utilisez-vous comme chauffage d'appoint une chaudière centrale à eau chaude (avec calorifères)?,"['Oui', 'Non']","['0', '1']",discrete
QD2I,Quelle source d'énergie utilisez-vous pour cette chaudière?,"['Électricité', 'Gaz naturel', 'Gaz propane', 'Mazout', 'Bois']","['0', '1', '2', '3']",discrete
QD4A,"Utilisez-vous un thermostat central, c'est-à-dire celui de votre système central qui contrôle la température de plusieurs pièces en même temps?","['Oui', 'Non']","['0', '1']",discrete
QD4C,"Votre thermostat central est-il programmable, c'est-à-dire qui vous permet de programmer à l'avance des hausses et des baisses automatiques de la température à heures fixes sans autre intervention de votre part?","['Oui', 'Non']","['0', '1']",discrete
QD4C1,"Habituellement, programmez-vous à l'avance des hausses et des baisses automatiques de la température à heures fixes à l'aide de votre thermostat central programmable?","['Oui', 'Non']","['0', '1']",discrete
QD6A,Utilisez-vous un ou des thermostat(s) placé(s) sur le mur et qui contrôle(nt) le chauffage d'une seule ou plusieurs pièces à la fois? (thermostats muraux),"['Oui', 'Non']","['0', '1']",discrete
QD6,Combien avez-vous de thermostats muraux? (thermostats placé(s) sur le mur et qui contrôle(nt) le chauffage d'une seule pièce à la fois),"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",discrete
QD6B,"En avez-vous qui sont électroniques, c est-à-dire qu il y a un écran qui affiche la température?","['Oui', 'Non']","['0', '1']",discrete
QD6C,"Combien avez-vous de thermostats électroniques programmables, c'est-à-dire qui vous permet de programmer à l'avance des hausses et des baisses automatiques de la température à heures fixes sans autre intervention de votre part?","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']",discrete
QD6C1,"Habituellement, programmez-vous à l'avance des hausses et des baisses automatiques de la température à heures fixes à l'aide de votre ou vos thermostats muraux programmables?","['Oui', 'Non']","['0', '1']",discrete
QD11A,"Climatisez-vous votre habitation, que ce soit une seule pièce ou l'ensemble des pièces?","['Oui', 'Non']","['0', '1']",discrete
QD11BM1,"Parmi les appareils suivants, lesquels utilisez-vous pour climatiser votre habitation? (Ensemble des mentions)","[""Climatiseur central autre qu'une thermopompe"", 'Climatiseur de fenêtre', 'Climatiseur mobile / portable', 'Climatiseur mural ou bibloc (mini-split)', 'Thermopompe murale', 'Thermopompe centrale', 'Thermopompe géothermique']","['0', '1', '2', '3', '4', '5', '6']",discrete
QD11BM1R,"Parmi les appareils suivants, lesquels utilisez-vous pour climatiser votre habitation? (Ensemble des mentions) (Base totale)","['Central autre que thermopompe', 'Climatiseur de fenêtre', 'Climatiseur mobile', 'Climatiseur mural ou bibloc', 'Thermopompe murale', 'Thermopompe centrale', 'Thermopompe géothermique']","['0', '1', '2', '3', '4', '5', '6']",discrete
D11B8,En quelle année votre climatiseur a-t-il été installé?,,,Entier
QD7F1,Utilisez-vous un échangeur d'air?,"['Oui', 'Non']","['0', '1']",discrete
QD7G1,S'agit-il d'un échangeur d'air avec ou sans récupérateur de chaleur?,"['Avec récupérateur de chaleur', 'Sans récupérateur de chaleur']","['0', '1']",discrete
QD7H3,Arrêtez-vous votre échangeur d'air en période de grands froids (-20 et plus froid)?,"['Oui', 'Non']","['0', '1']",discrete
QF1,À quelle source d'énergie votre chauffe-eau fonctionne-t-il?,"[""À l'électricité"", 'Au gaz naturel', ""À l'huile/au mazout"", 'Au propane', 'Au bois', 'Pas de chauffe-eau']","['0', '1', '2', '3', '4', '5']",discrete
QF2,"Est-ce que votre chauffe-eau est central, c'est-à-dire commun à deux ou plusieurs logements ou est-ce un chauffe-eau uniquement pour votre résidence?","['Central, soit pour plusieurs logements', 'Uniquement pour la résidence']","['0', '1']",discrete
QF2R,Le chauffe-eau est central ou uniquement pour le lieu de résidence (Base totale),"['Central, soit pour plusieurs logements', 'Uniquement pour la résidence', 'Pas de chauffe-eau']","['0', '1', '2']",discrete
QF3,Quelle est la capacité du chauffe-eau?,"['Chauffe-eau sans réservoir', 'Moins de 22 gallons (97 litres)', '22 gallons (97 litres)', 'Entre 23 et 39 gallons (100 et 172 litres)', '40 gallons (176 litres)', '41 à 59 gallons (180 à 260 litres)', '60 gallons (264 litres)', 'Plus de 60 gallons (264 litres)']","['0', '1', '2', '3', '4', '5', '6', '7']",discrete
QG1,"Avez-vous une piscine installée en permanence, qu'elle soit creusée ou hors-terre?","['Oui', 'Non']","['0', '1']",discrete
QG1A,Avez-vous une piscine gonflable?,"['Oui', 'Non']","['0', '1']",discrete
QG2,De quel type de piscine s'agit-il?,"['Une piscine hors-terre / semi-creusée', 'Une piscine creusée extérieure', 'Une piscine creusée intérieure', 'Une piscine hors-terre gonflable']","['0', '1', '2', '3']",discrete
QG3,Votre filtreur est-il équipé d'une minuterie?,"['Oui', 'Non']","['0', '1']",discrete
QG5,Possédez-vous une toile solaire?,"['Oui', 'Non']","['0', '1']",discrete
QG7,Votre piscine est-elle chauffée (autrement que par une toile solaire)?,"['Oui', 'Non']","['0', '1']",discrete
QG8M1,De quelle façon est-elle chauffée? (Ensemble des mentions),"['Une thermopompe de piscine', 'Un chauffe-piscine électrique (qui n’est pas une thermopompe)', 'Un capteur solaire', 'Un chauffe-piscine au propane', 'Un chauffe-piscine au gaz naturel', 'Un chauffe-piscine au bois', 'Un chauffe-piscine à l’huile/mazout']","['0', '1', '2', '3', '4', '5', '6']",discrete
QB1M,Avez-vous un spa à votre résidence?,"['Oui', 'Non']","['0', '1']",discrete
QB1M3,Le spa est-il à l'intérieur ou à l'extérieur de la résidence?,"['Intérieur', 'Extérieur']","['0', '1']",discrete
QS1,"Au cours des 12 derniers mois, avez-vous utilisé votre spa…?","['Oui', 'Non']","['0', '1']",discrete
QS2M1R,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver, pas utilisé)","['Le printemps', ""L'été"", ""L'automne"", ""L'hiver"", 'Pas utilisé']","['0', '1', '2', '3', '4']",discrete
QS2M2R,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver)","['Le printemps', ""L'été"", ""L'automne"", ""L'hiver""]","['0', '1', '2', '3']",discrete
QS2M3R,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver)","['Le printemps', ""L'été"", ""L'automne"", ""L'hiver""]","['0', '1', '2', '3']",discrete
QS2M4R,"Avez-vous utilisé votre spa…? (Printemps, été, automne, hiver)","['Le printemps', ""L'été"", ""L'automne"", ""L'hiver""]","['0', '1', '2', '3']",discrete
QS3AA,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois froids de la dernière année?,"['Je maintenais la température de mon spa constante', 'J’augmentais la température pour les périodes de baignade']","['0', '1']",discrete
QS3BB,Lequel des deux énoncés suivants correspond le mieux à vos habitudes durant les mois chauds de la dernière année?,"['Je maintenais la température de mon spa constante', 'J’augmentais la température pour les périodes de baignade']","['0', '1']",discrete
QT1,"Utilisez-vous une ou des voiture(s) électrique(s) rechargeable(s), qu'elle soit 100 % électrique ou hybride rechargeable, qu'elle soit achetée ou louée?","['Oui', 'Non']","['0', '1']",discrete
QT2,Combien avez-vous de voiture(s) 100 % électrique?,"['Aucune', 'Une', 'Deux', 'Trois']","['0', '1', '2', '3']",discrete
QT2R,Combien avez-vous de voiture(s) 100 % électrique? (Base totale),"['Aucune', 'Une', 'Deux', 'Trois']","['0', '1', '2', '3']",discrete
QT3,Combien avez-vous de voiture(s) électrique(s) hybride rechargeable?,"['Aucune', 'Une', 'Deux']","['0', '1', '2']",discrete
QT3R,Combien avez-vous de voiture(s) électrique(s) hybride rechargeable? (Base totale),"['Aucune', 'Une', 'Deux']","['0', '1', '2']",discrete
QT2T3,Voiture(s) électrique? (Base totale),"['Ne possède aucune voiture électrique', 'Possède une ou plusieurs voitures 100 % électriques', 'Possède une ou plusieurs voitures électriques hybrides', 'Possède les deux types de voitures']","['0', '1', '2', '3']",discrete
QT4,Disposez-vous d'une borne de recharge reliée à votre compteur d'électricité?,"['Oui', 'Non']","['0', '1']",discrete
