Dependency=Type_Logement;Option=Asphalt Shingles, Medium;Option=Composition Shingles;Option=Metal, Dark;Option=Slate;Option=Tile, Clay or Ceramic;Option=Tile, Concrete;Option=Wood Shingles
Collective;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Duplex;0.387124500289772;0.309515423914997;0.0466734183151835;0.0520008824158475;0.0601992361024361;0.04125021838477;0.103236320576992
Maison en rangee;0.331650987575347;0.44362401108678;0.0566530515305831;0.0189505646543862;0.0700722160368321;0.0137117473472512;0.0653374217688191
Maison individuelle;0.304337384323;0.410437855891225;0.178647419221723;0.0147475641209128;0.0317397085567256;0.0135670537161792;0.0465230141702324
Triplex;0.387124500289772;0.309515423914997;0.0466734183151835;0.0520008824158475;0.0601992361024361;0.04125021838477;0.103236320576992
