Dependency=Has PV;Option=East;Option=None;Option=North;Option=Northeast;Option=Northwest;Option=South;Option=Southeast;Option=Southwest;Option=West
No;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Yes;0.15828599366856;0;0.016720799331168;0.014551399417944;0.00988363960465441;0.449424982023;0.1430449942782;0.12102799515888;0.0870601965175921
