Dependency=Has PV;Option=1.0 kWDC;Option=3.0 kWDC;Option=5.0 kWDC;Option=7.0 kWDC;Option=9.0 kWDC;Option=11.0 kWDC;Option=13.0 kWDC;Option=None
No;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Yes;0.0310464573016442;0.152911235641606;0.261259947977453;0.213395597382568;0.170612009283725;0.0941361891109711;0.0374228789498588;0.0392156843521723
