Dependency=An_Construction;Option=QC_Wall-R10.1, interior;Option=QC_Wall-R12, interior;Option=QC_Wall-R14.4, interior;Option=QC_Wall-R17.1, interior;Option=QC_Wall-R17, interior
< 1950;0.8912604689251756;0.07204802690994068;0.015821533995514725;0.015201637131600427;0.005668333037768711
[1950 - 1960);0.9072917397544531;0.060929789875953155;0.009293141259245866;0.018097566346524218;0.004387762763823665
[1960 - 1970);0.9093241246100181;0.065397132653316;0.006988147019599543;0.013046016493224906;0.00524457922384151
[1970 - 1980);0.9197739329866357;0.06336043002504248;0.00529634662084437;0.007703008882758196;0.0038662814847193272
[1980 - 1990);0.7660260396545867;0.15823549941433107;0.025552849995918163;0.03695352383257508;0.013232087102588793
[1990 - 2000);0.4448350314217173;0.32096655816849456;0.10910368026612746;0.09326174814330358;0.031832982000357155
[2000 - 2010);0.2758377944306429;0.4336919808158124;0.08730396988174466;0.11388032405516266;0.08928593081663755
[2010 - 2020);0.17853070068262983;0.20223642253508628;0.30382814617797704;0.24464593322664285;0.07075879737766405
>= 2020;0.1362393018084464;0.14572526273411845;0.04459433211101768;0.5419786562587924;0.13146244708762508
